date,package,version,cumulative,clamped
2026-08-12,Ank.DocToolkit,0.18.0,121,
2026-08-12,Ank.DocToolkit,0.18.1,269,
2026-08-12,Ank.DocToolkit,0.19.0,96,
2026-08-12,Ank.DocToolkit,0.19.1,188,
2026-08-12,Ank.DocToolkit,0.2.0,1480,
2026-08-12,Ank.DocToolkit,0.2.1,223,
2026-08-12,Ank.DocToolkit,0.2.2,94,
2026-08-12,Ank.DocToolkit,0.20.0,282,
2026-08-12,Ank.DocToolkit,0.21.0,157,
2026-08-12,Ank.DocToolkit,0.22.0,164,
2026-08-12,Ank.DocToolkit,0.23.0,63,
2026-08-12,Ank.DocToolkit,0.24.0,0,
2026-08-12,Ank.DocToolkit,0.25.0,0,
2026-08-12,Ank.DocToolkit,0.3.0,92,
2026-08-12,Ank.DocToolkit,0.3.1,92,
2026-08-12,Ank.DocToolkit,0.3.10,98,
2026-08-12,Ank.DocToolkit,0.3.11,121,
2026-08-12,Ank.DocToolkit,0.3.12,132,
2026-08-12,Ank.DocToolkit,0.3.2,216,
2026-08-12,Ank.DocToolkit,0.3.3,91,
2026-08-12,Ank.DocToolkit,0.3.4,97,
2026-08-12,Ank.DocToolkit,0.3.5,117,
2026-08-12,Ank.DocToolkit,0.3.6,128,
2026-08-12,Ank.DocToolkit,0.3.7,119,
2026-08-12,Ank.DocToolkit,0.3.8,105,
2026-08-12,Ank.DocToolkit,0.3.9,122,
2026-08-12,Ank.DocToolkit,0.4.0,147,
2026-08-12,Ank.DocToolkit,0.5.0,159,
2026-08-12,Ank.DocToolkit,0.6.0,132,
2026-08-12,Ank.DocToolkit,0.7.0,289,
2026-08-12,Ank.DocToolkit,0.8.0,417,
2026-08-12,Ank.DocToolkit,0.9.0,210,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.10.0,118,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.11.0,307,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.12.0,606,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.13.0,156,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.14.0,268,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.15.0,137,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.16.0,288,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.18.0,110,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.18.1,125,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.19.0,89,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.19.1,98,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.2.1,226,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.2.2,99,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.20.0,250,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.21.0,96,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.22.0,103,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.23.0,58,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.24.0,0,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.25.0,0,
2026-08-12,Ank.DocToolkit.Extensions.DependencyInjection,0.3.0,89,
